Linux 5.4.0-164-generic (node0.gp27-206541.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

07:32:33 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:32:34 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:35 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:36 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:37 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:38 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:39 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:40 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:41 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:42 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:43 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:44 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:45 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:46 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:47 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:48 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:49 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:50 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:51 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:52 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:53 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:54 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:55 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:56 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:57 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:58 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:32:59 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:00 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:01 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:02 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:03 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:04 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:05 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:06 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:07 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:08 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:09 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:10 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:11 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:12 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:13 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:14 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:15 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:16 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:17 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:18 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:19 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:20 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:21 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:22 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:23 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:24 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:25 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:26 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:27 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:28 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:29 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:30 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:31 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:32 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:33 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:34 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:35 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:36 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:37 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:38 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:39 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:40 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:41 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
07:33:42 PM     0       212    0.00    0.00    0.00    0.00    0.00    33  ksoftirqd/33
