Linux 5.15.0-86-generic (node0.gp27-206409.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

06:26:29 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:26:30 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:31 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:32 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:33 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:34 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:35 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:36 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:37 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:38 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:39 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:40 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:41 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:42 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:43 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:44 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:45 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:46 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:47 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:48 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
06:26:49 PM     0        71    0.00    0.00    0.00    0.00    0.00     9  ksoftirqd/9
