Linux 5.15.0-86-generic (node0.gp27-206409.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

05:21:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:21:14 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:15 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:16 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:17 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:18 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:19 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:20 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:21 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:22 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:23 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:24 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:25 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:26 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:27 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:28 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:29 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:30 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:31 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:32 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:33 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:34 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:35 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:36 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:37 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:38 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:39 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:40 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:41 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:42 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:43 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:44 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:45 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:46 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:47 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:48 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:49 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:50 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:51 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:52 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:53 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:54 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:55 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:56 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:57 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:58 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:21:59 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:00 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:01 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:02 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:03 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:04 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:05 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:06 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:07 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:08 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:09 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:10 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:11 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:12 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:13 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:14 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:15 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:16 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:17 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:18 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:19 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:20 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:21 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:22 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:23 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:24 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:25 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
05:22:26 PM     0        65    0.00    0.00    0.00    0.00    0.00     8  ksoftirqd/8
