Linux 5.4.0-164-generic (node0.gp27-206541.cs523-uiuc-sp24-pg0.wisc.cloudlab.us) 	05/10/2024 	_x86_64_	(40 CPU)

01:18:41 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:18:42 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:43 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:44 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:45 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:46 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:47 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:48 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:49 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:50 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:51 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:52 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:53 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:54 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:55 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:56 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:57 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:58 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:18:59 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:00 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:01 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:02 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:03 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:04 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:05 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:06 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:07 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:08 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:09 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:10 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:11 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:12 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:13 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:14 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:15 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:16 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:17 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:18 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:19 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:20 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:21 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:22 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:23 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:24 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:25 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:26 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:27 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:28 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:29 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:30 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:31 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:32 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:33 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:34 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:35 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:36 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:37 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:38 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:39 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:40 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:41 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:42 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:43 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:44 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:45 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:46 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:47 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:48 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:49 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:50 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:51 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:52 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:53 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:54 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:55 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:56 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:57 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:58 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:19:59 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:00 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:01 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:02 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:03 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:04 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:05 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:06 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:07 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:08 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:09 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:10 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:11 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:12 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:13 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:14 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:15 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:16 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:17 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:18 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:19 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:20 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:21 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:22 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:23 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:24 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:25 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:26 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:27 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:28 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:29 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:30 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:31 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:32 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:33 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:34 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:35 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:36 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:37 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:38 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:39 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:40 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:41 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:42 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:43 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:44 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:45 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:46 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:47 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:48 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:49 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:50 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:51 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:52 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:53 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:54 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:55 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:56 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:57 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:58 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:20:59 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:00 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:01 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:02 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:03 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:04 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:05 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:06 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:07 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:08 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:09 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:10 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:11 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:12 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:13 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:14 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:15 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:16 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:17 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:18 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:19 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:20 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:21 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:22 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:23 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:24 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:25 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:26 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:27 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:28 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:29 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:30 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:31 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:32 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
01:21:33 PM     0        37    0.00    0.00    0.00    0.00    0.00     4  ksoftirqd/4
